Site name,Address,Postcode,longitude,latitude,certain or not,coordinate system,error,,,
A R Pharmacy,"3 Hazel Farm Road, Southampton, Hampshire",SO40 8WU,-1.5142215,50.916955,ROOFTOP,wgs84,,,,
ABC Drug Store - Downton,"5 High Street, Downton, Salisbury",SP5 3PG,-1.7444874,50.9926629,ROOFTOP,wgs84,,,,
Ace Pharmacy,"1 Ace Parade, Hook Road, Chessington, Surrey",KT9 1DR,-0.3031866,51.374768,ROOFTOP,wgs84,,,,
Acklam Road Pharmacy,"89 Acklam Road, Middlesbrough, Cleveland",TS5 5HR,-1.2623306,54.5537042,GEOMETRIC_CENTER,wgs84,,,,
Acorn Pharmacy,"Unit 2, Remembrance Road, Coventry, West Midlands",CV3 3DP,-1.4582397,52.3873072,RANGE_INTERPOLATED,wgs84,,,,
ACT centre (Peel Street Pharmacy),"ACT Centre, St James' Old School Building, Cannon Street, Accrington",BB5 2ER,-2.3669665,53.7516426,GEOMETRIC_CENTER,wgs84,,,,
Aldermans Pharmacy,"38-40 Aldermans Hill, Palmers Green, London",N13 4PN,-0.111385,51.6186793,ROOFTOP,wgs84,,,,
Allied Pharmacies,"Unit 18 Bold Industrial Park, Neills Road, St Helens",WA9 4TU,-2.68143,53.4311664,ROOFTOP,wgs84,,,,
Alsager Pharmacy,"25 Lawton Road, Alsager, Stoke-on-Trent",ST7 2AA,-2.3022898,53.0967838,ROOFTOP,wgs84,,,,
AMP Pharmacy,"39 Eastwood Road, Rayleigh, Essex",SS6 7JE,0.6062949,51.584829,ROOFTOP,wgs84,,,,
Ancora Healthcare Limited,"291 Ashby Road, Scunthorpe",DN16 2AB,-0.6552665,53.5710036,ROOFTOP,wgs84,,,,
Andrews Pharmacy,"71 Kennedy Avenue, Macclesfield, Cheshire",SK10 3DE,-2.154812,53.2676319,ROOFTOP,wgs84,,,,
Appleton Village Pharmacy,"Appleton Village, Widnes, Cheshire",WA8 6EQ,-2.7298335,53.3708777,GEOMETRIC_CENTER,wgs84,,,,
Aqua Pharmacy,"52 Duke Street, Ipswich",IP3 0AQ,1.1649675,52.0504392,ROOFTOP,wgs84,,,,
Arnolds Pharmacy - Westward Ho! Baptist Church,"42 Nelson Drive, Bideford, Westward Ho!, Devon",EX39 1LQ,-4.2362239,51.0400822,ROOFTOP,wgs84,,,,
Asda - Old Kent Road,"Old Kent Road, Ossory Road, London",SE1 5AG,-0.070587,51.4856455,GEOMETRIC_CENTER,wgs84,,,,
Asda Smethwick,"Asda Stores Ltd Capehill, Windmill Lane, Smethwick, Birmingham",B66 3EN,-1.9609606,52.4884701,ROOFTOP,wgs84,,,,
Asda Watford,"Odham Trading Estate, St Albans Road, Watford",WD24 7RS,-0.3951062,51.6802891,GEOMETRIC_CENTER,wgs84,,,,
AshaEve - Liverpool,"Unit 20 Brookfield Trade Centre, Fazakerley, Aintree, Merseyside",L9 7AS,-2.9414017,53.4601392,ROOFTOP,wgs84,,,,
AshaEve - Southport,"Unit 1, 56 Station Road, Ainsdale, Southport, Merseyside",PR8 3HW,-3.0381726,53.6024447,RANGE_INTERPOLATED,wgs84,,,,
Ashworths Dispensing Chemist,229 Beaver Road,TN23 7SJ,-77.7503715,43.0951954,ROOFTOP,wgs84,,,,
Aspire Pharmacy,"23 Sidcup High Street, Sidcup, Kent",DA14 6EQ,0.1044912,51.4258365,ROOFTOP,wgs84,,,,
Atkinsons Chemist,"750 Green Lanes, Winchmore Hill, London",N21 3RE,-0.0961363,51.630997,ROOFTOP,wgs84,,,,
"Avicenna Pharmacy, Swindon (Reviewing option of delivering from alternate site)","56 Guildford Avenue, Lawn, Swindon",SN3 1JE,-1.7615447,51.5481162,ROOFTOP,wgs84,,,,
B A Whittle Chemist,"130 Newbegin, Hornsea",HU18 1PB,-0.1677751,53.9116608,RANGE_INTERPOLATED,wgs84,,,,
B J Wilson Pharmacy,"18-20 Sinfin District Centre, Derby",DE24 3ND,-1.494042,52.8774805,ROOFTOP,wgs84,,,,
Badham Pharmacy,"23 Church Road, Bishops Cleeve, Cheltenham, Gloucestershire",GL52 8LR,-2.0610213,51.9474417,ROOFTOP,wgs84,,,,
Beacon Community Centre (Trentham Rd Pharmacy),"Prospect Rd, Market Drayton",TF9 3AP,-2.4929419,52.9061341,GEOMETRIC_CENTER,wgs84,,,,
Beare Green Village Hall (South Street Pharmacy),"Merebank, Beare Green, Surrey",RH5 4RD,-0.3187083,51.1801577,GEOMETRIC_CENTER,wgs84,,,,
Beccles Health Centre Pharmacy,"War Memorial Hospital, St Marys Road, Beccles",NR34 9NQ,1.5605542,52.4540913,GEOMETRIC_CENTER,wgs84,,,,
Bedminster Methodist Church c/o Bedminster Pharmacy,"British Road, Bedminister, Bristol",BS3 3BW,-2.6039224,51.4386437,GEOMETRIC_CENTER,wgs84,,,,
Bees Pharmacy,"199-201 Rushmore Road, Clapton, London",E5 0HD,-0.0391912,51.5557885,ROOFTOP,wgs84,,,,
Belgrave Pharmacy,"Belgrave Health Centre, 52 Brandon Street, Leicester",LE4 6AW,-1.1215067,52.6483482,ROOFTOP,wgs84,,,,
Bicton Heath Pharmacy,"Unit 2, Bicton Heath Shopping Centre, Welshpool Road, Shrewsbury",SY3 5AD,-2.8060663,52.7147187,ROOFTOP,wgs84,,,,
Billings Pharmacy,"5a Kings Chase Shopping Centre, Regent Street, Kingswood, Bristol",BS15 8LP,-2.5086805,51.463465,GEOMETRIC_CENTER,wgs84,,,,
"Birkwood Pharmacy, Primary Care Centre","Westward House, Grimsby",DN34 5DX,-0.0996374,53.5562765,GEOMETRIC_CENTER,wgs84,,,,
Bishopside & Bewerley Memorial Hall (Pateley Bridge Pharmacy),"Park Road, Pateley Bridge, Harrogate, North Yorkshire",HG3 5JS,-1.7600459,54.0868926,GEOMETRIC_CENTER,wgs84,,,,
Blakeberry Pharmacy,"9 High Street South, East Ham, London",E6 6EN,0.0555613,51.531625,ROOFTOP,wgs84,,,,
Bloxwich Pharmacy,"Bloxwich Pharmacy, 169 High Street, Bloxwich, Walsall",WS3 3LH,-2.004553,52.6174031,ROOFTOP,wgs84,,,,
Boots - Alfreton,"36 High St, Alfreton",DE55 7BL,-1.3882007,53.0972949,ROOFTOP,wgs84,,,,
Boots - Alton,"52 High Street, Alton, Hampshire",GU34 1ET,-0.9760945,51.1485559,ROOFTOP,wgs84,,,,
Boots - Beeston,"31 High St, Beeston, Nottingham",NG9 2JQ,-1.2148469,52.9275486,ROOFTOP,wgs84,,,,
Boots - Berwick Upon Tweed,"60-68 Marygate, Berwick Upon Tweed",TD15 1BN,-2.0041293,55.7702402,ROOFTOP,wgs84,,,,
Boots - Bluewater,"South Mall, Bluewater Park, Kent",DA9 9SJ,0.2711103,51.4389482,GEOMETRIC_CENTER,wgs84,,,,
Boots - Brampton,"Cortonwood, Brampton, Barnsley",S73 0TB,-1.3891241,53.5089928,GEOMETRIC_CENTER,wgs84,,,,
Boots - Buxton,"62 Spring Gardens, Buxton",SK17 6BZ,-1.909687,53.2592549,ROOFTOP,wgs84,,,,
Boots - Carlisle,"43-49 English Street, Carlisle, Cumbria",CA3 8JU,-2.9345052,54.8934636,ROOFTOP,wgs84,,,,
Boots - Chester,"47-55 Foregate Street, Chester",CH1 1NA,-2.8868064,53.1919924,ROOFTOP,wgs84,,,,
Boots - Durham,"2-5 Market Place, Durham", DH1 3NB,-1.5751011,54.7770989,ROOFTOP,wgs84,,,,
Boots - Fleet Street,"120 Fleet Street, London",EC4A 2BE,-0.1057663,51.5145526,ROOFTOP,wgs84,,,,
Boots - Fosse Park,"Unit 2, Fosse Park, Leicester",LE19 1HJ,-1.1776711,52.5955047,RANGE_INTERPOLATED,wgs84,,,,
Boots - Hartcliffe,"The Junction, Imperial Retail Park, Hartcliffe, Bristol",BS13 7TJ,-2.6010199,51.4170678,ROOFTOP,wgs84,,,,
Boots - Hartlepool,"Unit 7, Anchor Retail Park, Marina Way, Hartlepool, Cleveland",TS24 0XR,-1.2096579,54.69153,ROOFTOP,wgs84,,,,
Boots - Haverhill,"15 High Street, Haverhill",CB9 8AD,-71.0894946,42.7761854,ROOFTOP,wgs84,,,,
Boots - Huddersfield,"22-24 King Street, Huddersfield, West Yorkshire",HD1 2QE,-1.7812099,53.645672,ROOFTOP,wgs84,,,,
Boots - Intu Nottingham,"Intu Victoria Centre, 11-19 Lower Parliament Street, Nottingham",NG1 3QS,-1.1468699,52.9558215,GEOMETRIC_CENTER,wgs84,,,,
Boots - Luton Arndale Centre,"82-86 Luton Arndale Centre, Luton, Bedfordshire",LU1 2BG,-0.4139271,51.8789118,ROOFTOP,wgs84,,,,
Boots - Southampton,"Unit 3, West Quay Retail Park, Southampton, Hampshire",SO15 1BA,-1.4075563,50.904171,GEOMETRIC_CENTER,wgs84,,,,
Boots - Southport,"31-39 Chapel Street, Southport",PR8 1AH,-3.0042586,53.6473087,ROOFTOP,wgs84,,,,
Boots - Speke,"Unit 9 New Mersey Retail Park, Speke Road, Speke, Liverpool",L24 8QB,-2.8783659,53.3505065,GEOMETRIC_CENTER,wgs84,,,,
Boots - Staines,"Unit S3, Two Rivers Retail Park, Mustard Mill Road, Staines",TW18 4WB,-0.5130984,51.4353198,ROOFTOP,wgs84,,,,
Boots - Uxbridge (The Chimes),"128 Intu Uxbridge, The Chimes Shopping Centre, High Street, Uxbridge",UB8 1GA,-0.4760099,51.5451446,GEOMETRIC_CENTER,wgs84,,,,
Boots - Westway Cross Retail Park,"Unit 11, Westway Cross Retail Park, 1000 Greenford Rd, Greenford, London",UB6 0UW,-0.3410935,51.5427544,ROOFTOP,wgs84,,,,
Boots Chatham,"30-34 Wilmot Square, The Pentagon Centre, Chatham, Kent",ME4 4BB,0.5264379,51.3834895,ROOFTOP,wgs84,,,,
Boots Gloucester,"38-46 Eastgate Street, Gloucester",GL1 1PU,-2.2440635,51.8638368,ROOFTOP,wgs84,,,,
Boots Halifax,"7-11 Market Street, Halifax",HX1 1PB,-1.8584725,53.7228846,ROOFTOP,wgs84,,,,
Boots Pharmacy - Cribbs Causeway,"Unit 116, The Mall, Cribbs Causeway, Bristol",BS34 5UP,-2.5960692,51.5249719,GEOMETRIC_CENTER,wgs84,,,,
Boots Pharmacy - Taunton,"64-65 High Street, Taunton",TA1 3PT,-3.1039458,51.0140184,ROOFTOP,wgs84,,,,
Bradley Methodist Church,"89 Hall Green Street, Bilston",WV14 8TH,-2.0719201,52.5526949,ROOFTOP,wgs84,,,,
Brand Russell Pharmacy,"280 East Barnet Road, East Barnet, Hertfordshire",EN4 8TD,-0.1634539,51.6425269,ROOFTOP,wgs84,,,,
Brennans Pharmacy (Peak Ltd),"33 High Street, Ibstock",LE67 6LG,-1.3975245,52.6876827,RANGE_INTERPOLATED,wgs84,,,,
Brewerylane Pharmacy,"25 Main Street, Brewery Lane, Ponteland, Northumberland",NE20 9NZ,-1.7432979,55.0494923,ROOFTOP,wgs84,,,,
Britannia Dance (Cainscross Pharmacy). ,"1 Kingley Villas, Cashes Green Road, Stroud",GL5 4JG,-2.2490528,51.7476514,APPROXIMATE,wgs84,,,,
Brixham Rugby Football Club (Day Lewis Pharmacy),"Astley Park, Rea Barn Road, Brixham",TQ5 9ED,-3.5081211,50.390855,GEOMETRIC_CENTER,wgs84,,,,
Bruton Community Hall (Bruton Pharmacy),"Silver Street, Bruton",BA10 0EB,-2.4527138,51.1117232,GEOMETRIC_CENTER,wgs84,,,,
Brutons Pharmacy Moxley,"Moxley Methodist Church, High Street, Moxley, Wednesbury",WS10 8RT,-2.0513319,52.5602216,ROOFTOP,wgs84,,,,
Bryants Pharmacy,"462 Ashley Road, Poole",BH14 0AD,-1.9425859,50.7291729,ROOFTOP,wgs84,,,,
Buckley Pharmacy,"78 The Street, Ashtead",KT21 1AW,-0.2984144,51.3098678,ROOFTOP,wgs84,,,,
Burnham-on-Sea Rugby Football Club (Day Lewis Pharmacy),"The Basc Ground, Stoddens Road, Burnham-On-Sea, Somerset",TA8 2BS,-2.9853902,51.2477275,GEOMETRIC_CENTER,wgs84,,,,
Burslem Cricket Club c/o Raven Pharmacy,"Burslem Cricket Club, Greyhound Way, Burslem, Stoke-on-Trent",ST6 3LQ,-2.1913956,53.0334444,GEOMETRIC_CENTER,wgs84,,,,
Camborne Community Centre (Wedmore Pharmacy),"22 South Terrace, Camborne",TR14 8SU,-5.2995437,50.2106531,ROOFTOP,wgs84,,,,
Casa Hotel (Peak Pharmacy),"Casa Hotel, Lockoford Lane, Chesterfield",S41 7JB,-1.4237739,53.2509208,GEOMETRIC_CENTER,wgs84,,,,
Castle Lane Pharmacy,"482 Castle Lane West, Bournemouth, Dorset",BH8 9UD,-1.8419939,50.7509238,ROOFTOP,wgs84,,,,
Cavalry Road Pharmacy,"15 Cavalry Road, Colchester",CO2 7GH,0.8927382,51.8813855,ROOFTOP,wgs84,,,,
Central Dales Pharmacy,"Market Place, Hawes",DL8 3QX,-2.1994661,54.3041715,GEOMETRIC_CENTER,wgs84,,,,
Chells Manor Community Centre,"12 Emperors Gate, Fairlands Way, Stevenage, Hertfordshire",SG2 7QX,-0.1612272,51.9160843,ROOFTOP,wgs84,,,,
Chess Pharmacy,"260-290 Berkhampstead Road, Chesham, Buckinghamshire",HP5 3EZ,-0.6087816,51.7130689,ROOFTOP,wgs84,,,,
Church Crookham Pharmacy,"Willis Hall (Adjacent Memorial Hall), Sandy Lane, Church Crookham, Fleet",GU52 8LD,-0.8392086,51.2593224,GEOMETRIC_CENTER,wgs84,,,,
Citywide Health COVID Vaccination Clinic,"6 Wyre Court, Haxby",YO32 2ZB,-1.0806029,54.0188337,ROOFTOP,wgs84,,,,
Clayponds Community Centre (South Ealing Pharmacy),168 Clayponds Gardens,W5 4RQ,-0.3041009,51.4953667,ROOFTOP,wgs84,,,,
Cleggs Pharmacy Wantage,"Unit 3 Kings Walk, Wantage, Oxfordshire",OX12 9AJ,-1.426917,51.58958,ROOFTOP,wgs84,,,,
Clockwork Pharmacy - Deal,"7 High Street, Deal, Kent",CT14 7AA,1.4026492,51.2224462,ROOFTOP,wgs84,,,,
Clockwork Pharmacy - Hackney,"398-400 Mare Street, Hackney, London",E8 1HP,-0.0549927,51.5490405,ROOFTOP,wgs84,,,,
Cockerton Pharmacy ,"5 West Auckland Road, Darlington", DL3 9EJ,-1.5786344,54.5343439,ROOFTOP,wgs84,,,,
Community Hall - St Paul's Church (Fastheal Pharmacy),"Community Hall, St Paul's Church",GU22 7BD,-98.5500454,29.4652562,ROOFTOP,wgs84,,,,
Copes Pharmacy,"570-572 Streatham High Road, London",SW16 3QQ,-0.1262434,51.4167319,ROOFTOP,wgs84,,,,
Cornwell's Chemists Gt Wyrley,"Cornwells Chemist, 126 Wardles Lane, Great Wyrley, Walsall",WS6 6JX,-2.0169536,52.6573685,ROOFTOP,wgs84,,,,
Cottingham Pharmacy ,"342 Wellington Street , Grimsby",DN32 7JR,-0.0627222,53.5665749,ROOFTOP,wgs84,,,,
Cray Hill Chemist,"88 Cotmandene Crescent, St. Pauls Cray, Orpington",BR5 2RG,0.1056502,51.4034626,ROOFTOP,wgs84,,,,
Crescent Pharmacy,"110 Alexandra Road, Ashington, Northumberland, Newcastel Upon Tyne",NE63 9LU,-1.5533916,55.1784811,ROOFTOP,wgs84,,,,
Cullimore Chemist,"54 Glengall Road, Edgware, Middlesex",HA8 8TB,-0.26871,51.62623,ROOFTOP,wgs84,,,,
Daveys Chemist,"112 Dinas Lane, Huyton, Merseyside",L36 2NS,-2.8597428,53.4167188,ROOFTOP,wgs84,,,,
Day Lewis Pharmacy - Brixton,"110 Brixton Hill, Brixton, London",SW2 1AH,-0.1203305,51.4541586,ROOFTOP,wgs84,,,,
Day Lewis Pharmacy - Erith,"249-251 Bexley Rd, Northumberland Heath, Erith",DA8 3EX,0.1628627,51.4738673,ROOFTOP,wgs84,,,,
Day Lewis Pharmacy - Masham,"11 Market Place, Masham, Ripon, North Yorkshire",HG4 4DZ,-1.6557883,54.2218841,ROOFTOP,wgs84,,,,
Day Lewis Pharmacy - Peckham,"151 Peckham High Street, Peckham, London",SE15 5SL,-0.0664041,51.4740172,RANGE_INTERPOLATED,wgs84,,,,
Day Lewis Pharmacy - Richmond,"20 King Street, Richmond, North Yorkshire",DL10 4HP,-1.737185,54.404041,ROOFTOP,wgs84,,,,
Day Lewis Pharmacy - Stoke Newinton,"75-77 Stoke Newington Road, Stoke Newington, London",N16 8AD,-0.0750692,51.5536885,ROOFTOP,wgs84,,,,
Direct Pharmacy,"2-8 Madrid Road, Guildford, Surrey",GU2 7NT,-0.5860837,51.2379339,ROOFTOP,wgs84,,,,
Drugs4Delivery,"Unit 4, Acorn Business Park, Moss Road, Grimsby",DN32 0LT,-0.081769,53.562885,ROOFTOP,wgs84,,,,
East Goscote - St Hilda's Church (Mr Pickford's),"St Hilda's Church, 25 Ling Dale, East Goscote, Leicester",LE7 3XW,-1.0515178,52.7150295,GEOMETRIC_CENTER,wgs84,,,,
Eastcote Pharmacy,"109-111 Field End Road, Eastcote, Pinner, Middlesex",HA5 1QG,-0.3993557,51.5798966,ROOFTOP,wgs84,,,,
Edge Hill University (Aspire Healthcare),"Edge Hill University Main Cark Park, Sport and Physical Activity Building (Wilson Centre), St Helens Road, Ormskirk",L39 4QP,-2.8675476,53.5571287,GEOMETRIC_CENTER,wgs84,,,,
Edwinstowe Pharmacy,"25 High Street, Edwinstowe",NG21 9QP,-1.0639215,53.1941463,ROOFTOP,wgs84,,,,
Eldred Drive Pharmacy,"25 Eldred Drive, Orpington",BR5 4PE,0.116351,51.3743671,ROOFTOP,wgs84,,,,
